featureAndLoc	BNLX1_MaleLiver	BNLX2_MaleLiver	BNLX3_MaleLiver	SHRH1_MaleLiver	SHRH5_MaleLiver
mirlet7a-6-3p,mirlet7f-1-3p,mirlet7f-3p,mir3596d-3p,mirlet7a-2-3p,mirlet7a-3-3p,mirlet7a-5-3p|chr17:18474329-18474380	3634.68	2535.17	8139.84	6143.54	5069.94
mir_chr1_1353|chr1:220793171-220793226	0	0	0	1	0
mir_chr17_14126|chr17:73748023-73748080	119.39	227.74	224.92	286.82	271.71
mir_chr12_11060|chr12:13503598-13503658	2	2.5	2	1.5	3.04
rno-mir-6325-5p|chr11:40257500-40257570	0	0	0	0	0
mir184-3p|chr8:96677910-96677949	5	3.98	8.98	23.06	6.34
mir692-1-3p,mir692-2-3p,mir692-3-3p|chr1:102527289-102527336	0.17	2.27	3.5	1.67	1
mir_chr7_29062|chr7:15342371-15342427	1	3	4	4	4
mir192-5p|chr1:228620071-228620126	4857597.18	7604818.32	12574555.19	7828057.3	7529553.68
mirlet7a-3-3p,mir98-3p|chrX:21867880-21867934	7.99	376.42	53.61	47.99	127.61
mir_chr6_27933|chr6:137837899-137837960	1	3	2	2	2
mir3085-5p|chr1:268976751-268976795	0	1	0	0	0
mir8112-5p|chr4:163912824-163912883	1.01	2.24	2.12	1.43	0
mir690-3p|chr9:76231288-76231310	0.46	1.25	1.17	0.07	1.28
mir_chr6_27846|chr6:131935089-131935147	3.05	3.06	8.78	3.59	5
mir_chr20_19007|chr20:6889472-6889541	1	0	4	9	10
mir3593-3p|chr6:86193847-86193892	1	2	0	0	0
mir_chr1_4229|chr1:103225413-103225474	0	0	0	0	0
mir_chr10_6429|chr10:107667863-107667922	0	1.5	1.5	0.5	1
mir690-3p|chr5:82844586-82844609	0	0	0.73	1.07	0.25
mir_chr18_15056|chr18:70643471-70643537	0	0.5	0.5	2.5	1.5
mir_chr16_12267|chr16:47385335-47385386	0.99	0	0	0	0
mir483-3p|chr1:222726906-222726942	0	14	0	0	0
rno-mir-6314-5p,mir6314-5p|chr2:231156806-231156875	0	0	1	1.99	1
mir7670-5p|chr4:66048350-66048384	1	0	0	1	0
mir106b-5p|chr12:21365422-21365463	1020.61	3878.08	4395.79	3898.86	5137.3
mirlet7a-1-3p,mirlet7d-1-3p,mirlet7c-2-3p,mirlet7d-2-3p|chr7:126300968-126301015	159.58	5153.76	1415.5	1322.9	1794.71
mir_chrX_33791|chrX:16229585-16229639	0	0.5	0.5	1.5	1.5
mir_chr16_12884|chr16:81418081-81418169	1	1.53	0	3.81	2
mir_chr3_21533|chr3:152826871-152826939	0	0	1	1	0
mir_chr16_12763|chr16:56517473-56517532	0.99	1	1	3.97	7
mir_chr19_15943|chr19:70579229-70579291	0	0	1	3.09	1
mir138-5p,mir138-1-5p|chr8:130886767-130886816	49.85	117.11	54.01	289.22	113.69
mir_chr8_30206|chr8:49187026-49187082	30.89	57.98	63.97	173.98	90.56
mir_chr10_4066|chr10:4851348-4851409	0	0	0	0	0
mir_chr1_214|chr1:42325137-42325211	0	0	0	0	0
mir690-3p|chrX:37045464-37045486	0.46	1.25	1.17	0.07	1.28
mir_chr5_24134|chr5:34487542-34487605	0	4	2	5	2.97
mir344-1-3p,mir344a-2-3p,mir344-2-3p,mir344c-3p,mir344-3p|chr1:123441044-123441098	0.98	6.5	1.5	13.08	5.5
mir500-5p|chrX:16906445-16906491	2	4	10	20	10
mir_chr14_14761|chr14:44368015-44368095	0	5	0	1	1
mir_chr7_28905|chr7:142692460-142692525	0	0	0	0	0
mir_chr16_12199|chr16:22244298-22244363	0	0	1.99	0	1
mir_chr1_190|chr1:32938924-32938974	3019.24	9868.08	12708.4	7865.43	8771.63
mir_chr6_28026|chr6:146091060-146091122	0	0	0	0	0
mir99b-5p|chr1:60623873-60623908	1867.69	12544.56	3541.19	8170.72	3173
mir_chr10_5814|chr10:55931044-55931099	0	1	5	0	2
mir_chr10_5276|chr10:109007615-109007671	0	0	0	0	0
mir135a-3p,mir135-1-3p,mir135a-2-3p|chr7:32974075-32974125	4	6	2	13.99	3.02
mir_chr5_25981|chr5:164507202-164507263	0	0	0	0	0
mir181a-5p,mir181a-1-5p,mir181a-2-5p,mir3570-5p|chr13:59986115-59986174	369.65	1304.85	1027.39	1766.38	890.36
mir34c-3p|chr8:54088380-54088418	2	24	8	73.18	22
mir_chr2_24488|chr2:217974495-217974549	22.39	62.78	128.18	148.72	55.95
mir_chr3_21375|chr3:124104471-124104531	0	2	2	4	1
mir1-3p,mir1b-3p,mir1a-1-3p,mir1a-2-3p,mir1-1-3p|chr3:181345847-181345893	0	8.01	0	1.8	10.95
mir15b-5p,rno-mir-15b-5p|chr2:184967040-184967089	719.56	5827.43	12096.9	10582.27	14194.22
mir_chrX_33691|chrX:153216419-153216476	31.93	91.34	163.3	0	4.93
mir692-1-3p|chr5:156012536-156012583	0.17	2.27	3.5	1.67	1
mir3059-3p|chr7:43355810-43355850	0	0	0	0	0
mir_chr10_5613|chr10:37145139-37145195	0	0	1	0	0
mir375-3p|chr9:81930295-81930332	4320.71	9432.99	12650.83	14781.18	8963.86
mir451a-3p,mir451b-3p,mir451-3p|chr10:66340852-66340888	2070	5061	6029	5916	6146
mir_chr9_32012|chr9:53086001-53086058	0	1	1	2	1
mir_chr3_20342|chr3:163327631-163327690	0	1	1	1	2
mir760-5p|chr2:243908794-243908853	0	2	0	0	1
mir_chr20_18665|chr20:14711474-14711534	5	10	23	18	14
mir20a-3p|chr15:103641395-103641444	25	57	43	35.02	48
mir338-5p,mir3065-5p|chr10:108793444-108793495	36.99	180.99	130	219.26	121.98
mir_chr12_8032|chr12:4669366-4669430	0	0	0	0	0
mir_chr19_15596|chr19:11493968-11494033	0	0	0	0	0
mir_chrX_33789|chrX:16127779-16127833	0	0.5	0.5	1.5	1.5
mir140-5p|chr19:50471252-50471301	471.35	1561.81	1305.23	1335.95	1525.03
mir_chr2_26826|chr2:275660757-275660809	0	0	0	0	0
mir503-5p|chrX:152773782-152773817	1.5	9.99	4.51	3	3.31
mir16-5p,mir16-2-5p,rno-mir-16-5p|chr2:184967189-184967236	109791.94	297482.88	367997.24	451400.7	356313.36
mir_chr8_31337|chr8:92451424-92451492	0	1.22	0	2.1	2
mir_chr6_26676|chr6:114990779-114990842	0.92	0	0.77	0	2
mir_chr15_10900|chr15:11915739-11915801	0	2	2	3	1
mir_chr14_9896|chr14:34243723-34243784	4	28	27.39	25	19
mir201-3p|chr1:151058647-151058687	1	1	7.95	19	20.99
mir199-1a-3p,mir199a-3p,mir199a-1-3p,mir199a-2-3p,mir199-2a-3p,mir199b-3p,mir199a-3-3p,mir199-3-3p|chr3:16697115-16697163	11191.93	27390.54	35282.29	35876.76	43742.86
mir_chr1_1851|chr1:270475151-270475211	0	0	0	3	0.5
mir_chr4_21837|chr4:6299159-6299222	0.33	0	0	1.33	1
rno-mir-6317-5p|chr1:266528824-266528887	0.5	1.26	0	0	1
mir3590-5p,mir130a-5p|chr3:78661740-78661784	1	16.74	9	23	14
mir802-5p|chr11:37163114-37163162	9854.06	42101.24	56292.82	23841.03	40232.31
mir_chr3_19886|chr3:107417427-107417489	0	0	0	0	0
mir664-1-3p|chr18:46701270-46701299	15	745.3	43.98	146.99	82.73
mir190a-5p,mir190-5p|chr8:77362842-77362891	235.89	699.13	614.63	549.8	991.21
mir_chr6_27418|chr6:54377427-54377487	0	1	3	3.94	0
mir690-3p|chr11:75959709-75959732	0	0	0.73	1.07	0.25
mir_chr15_11574|chr15:37505860-37505921	0	0	0	0	0
mir_chr3_21714|chr3:167551527-167551605	1	1	6	1	3
mir300-5p|chr6:143036500-143036545	0	0	0	0	0
mir_chr9_31807|chr9:15741403-15741466	0	0	0	0	1
mir_chr3_21454|chr3:133318612-133318672	0	0	0	0	0
mir322-3p|chrX:152773515-152773562	359.02	986.21	1121.37	1303.08	802.46
mir493-5p|chr6:142861685-142861727	2	0	2	0	3
mir3064-3p|chr10:94727750-94727783	0	0	1	2	2
mir_chr13_13307|chr13:42680573-42680650	11	2.98	12.96	18	20
mir_chr13_8614|chr13:53878918-53878978	0	0	0	4	1
mir674-5p|chr3:115421225-115421275	18	254.85	30.63	236.96	121.81
mir344d-3-3p,mir344e-3p,rno-mir-344b-2-3p|chr1:122315614-122315651	0	0	0	0	0
mir_chr12_7916|chr12:43468795-43468856	0	0	0	0	0
mir18-3p,mir18-1-3p,mir18-2-3p,mir18a-3p,mir18b-3p|chr15:103641084-103641134	0	17.95	0	11.98	7
mir690-3p|chr6:35965603-35965626	0	0	0.73	1.07	0.25
mir323-3p|chr6:143023412-143023455	1	29	1	6.96	1
mir376b-3p|chr6:143035494-143035537	9.22	50.51	14.73	24.49	35.8
mir301-3p,mir301a-1-3p,mir301-1-3p,mir301a-3p|chr10:75682817-75682867	3251.69	8340.03	9826.22	8336.34	12207.92
mir_chr18_14571|chr18:69337765-69337811	0	1.99	0	0	0
mir871-5p|chrX:151282727-151282765	0	0	5.02	0	1
mir_chr5_25079|chr5:12612022-12612084	1	3	2	6	1
mir496a-5p,mir496-5p|chr6:143051628-143051673	0	0	0	0	0
mir145a-3p,mir145-3p|chr18:56198814-56198860	3158.5	6017.38	9958.93	6275.46	7295.63
mir18-5p,mir18-1-5p,mir18-2-5p,mir18a-5p,mir18b-5p|chr15:103641034-103641084	93.45	481.95	321.12	301.3	414.89
mir_chr8_30793|chr8:131772189-131772252	7.98	10	13	17.98	16
mir350-3p|chr13:99302870-99302919	21.5	183	59	103	92.5
mir1249-3p|chr7:125575314-125575374	4.97	318.85	5	55.48	38
rno-mir-3084a-5p|chr19:54235952-54235986	1	1	1	4	3
mir_chr11_10485|chr11:71919213-71919274	0	1.96	0	0	0
mir_chr17_13299|chr17:51660213-51660275	1	0	0	1.46	0
mir3544-5p,mir337-5p|chr6:142868146-142868196	0	2.48	0	0	1
mir_chr16_12697|chr16:48403241-48403296	0.33	0	0.67	1.33	0
mir758-5p|chr6:143023666-143023706	0	0	0	0	0
mir487b-5p|chr6:143039480-143039521	0	0	0	0	0
mir_chr1_2532|chr1:89314440-89314496	0	0	0	0	0
mir200b-5p,mir200c-5p|chr5:176964213-176964261	18	88.55	29.6	41.99	11.12
mir203b-5p,mir3545-5p,mir203-5p,mir203a-5p|chr6:145714676-145714733	9030.47	20879.33	26512.56	34935.52	25133.32
mir_chr3_20413|chr3:170611411-170611470	0	0	0	0	0
mir503-5p|chrX:153211499-153211534	1.5	9.99	4.51	3	3.31
mir935-5p|chr1:63322198-63322243	0	0	0	0	0
mirlet7a-1-5p,mirlet7d-1-5p,mirlet7c-2-5p,mirlet7d-2-5p|chr7:126300920-126300967	79522.57	77623.6	206241.51	327100.58	57907.09
mir_chr10_5530|chr10:29126243-29126292	0	0	0	0	0
mir682-3p|chr9:79775857-79775889	0	3	2	12	2
mir677-3p|chr7:2485758-2485795	9	20	13	61	25
mir_chr13_9343|chr13:74907144-74907207	0	0	0	0	1
mir344b-1-3p,mir344e-3p|chr1:122322861-122322910	1	13.5	0	4	0
mir_chr10_4393|chr10:38608906-38608972	0	0	0	0	0
rno-mir-6324-3p|chr11:39913804-39913864	56.72	286.93	215.86	298.73	181.89
mir690-3p|chr6:102275109-102275129	0.86	7.6	8.11	3.6	15.46
mir10a-5p,mir10c-5p|chr10:83968681-83968736	1108948.12	1295323.35	1777980.96	2081057.25	1121674.64
mir350-5p|chr13:48922456-48922505	10.5	66	33	116.5	34
mir27a-5p|chr19:36294923-36294966	72.99	97.99	121	122.98	143.98
mir_chr10_6163|chr10:81953359-81953431	0	0	0	0	0
mir_chr4_22219|chr4:149035882-149035941	1	2	1	4	2
mir6941-3p|chr6:146720512-146720541	0	0	0	0	0
mir29c-5p,mir3556b-5p|chr13:118330023-118330076	3517.81	14416.62	15652.17	12434.17	14667.41
mirlet7b-1-3p,mirlet7b-2-3p,mirlet7b-3p|chr7:126301382-126301432	2	797.38	11.31	25.58	28.78
mir185-3p|chr11:89906679-89906719	4	15.74	20.09	35.13	11.95
mir_chr16_12693|chr16:46798322-46798377	0.33	0	0.67	1.33	0
mir_chr5_26083|chr5:174135936-174135980	0	0	1	82.69	27.98
mirlet7a-6-5p,mirlet7f-1-5p,mirlet7f-5p,mir3596d-5p,mirlet7a-2-5p,mirlet7a-3-5p,mirlet7a-5-5p|chr17:18474381-18474432	68.85	1068.28	211.71	214.69	282.15
mir132-3p,mir132-2-3p,mir132-3-3p|chr10:61729435-61729485	7.77	205.4	10.99	147.61	50.61
mir_chr5_24137|chr5:34613508-34613564	1.64	0	0	100.02	175.32
mir330-5p|chr1:81358758-81358807	218.03	581.99	902.36	626.44	898.08
mir291b-3p|chr1:63524192-63524246	9	36	24	48	74
mir_chr2_18239|chr2:239583197-239583240	0	0	0	0	0
mir744-3p|chr10:51999706-51999756	59.01	337	229.99	253.99	181.95
mir_chr8_30331|chr8:65393195-65393254	1.91	8.73	21.45	5.65	9.88
mir135a-1-3p|chr8:114212788-114212830	0	0	0	0	0
mir_chr7_29444|chr7:80110513-80110562	211.34	691.35	811.04	278.65	207.98
mir_chr5_24924|chr5:164030445-164030505	11	20	18.99	24	2
mir_chr8_31288|chr8:84962419-84962477	4	2	2	6	3
mir_chr19_15612|chr19:25913992-25914045	23.39	105.37	109.09	618.41	267.22
mir450-2-5p|chrX:153216279-153216313	486.75	2048.19	2316.62	1314.36	1895.64
mir_chr1_3301|chr1:204151644-204151699	0	0	0	0	0
mir488-5p|chr13:81112941-81112993	0	3	0	0	0
mir_chr1_1399|chr1:222133720-222133811	0	0	0	0	0
mir381-3p|chr6:143038996-143039050	72.33	267.92	119.99	296.36	212.76
mir3569-5p|chr1:90197441-90197479	1	0	5	10.88	10.31
mir_chr8_31410|chr8:104041094-104041150	0	0	1	3.45	0
mir3591-3p,mir122-3p|chr18:59956797-59956851	62170.2	754424.67	142980.62	211941.94	262321.63
mir_chr17_14094|chr17:73491980-73492037	119.39	227.74	224.92	286.82	271.71
mir137-3p,mir137-1-3p,mir137-2-3p,mir137-3-3p|chr2:239707813-239707864	2.94	50.31	11.44	26.98	20.96
mir_chr10_5270|chr10:108641958-108642017	0	2	3	0	2
mir26-5p,mir26a-2-5p,mir26-1-5p,mir26a-5p,mir26b-5p|chr7:70463561-70463603	769243.53	2581903.39	3152268.69	3463954.54	1948559.9
mir_chr17_14059|chr17:72132735-72132795	0	0	2	1	0
mir_chr11_9676|chr11:34507277-34507333	0	0	1	0	1
mir25-3p,mir25-1-3p|chr12:21364961-21365010	8979.17	28613.84	25220.48	34262.94	21197.45
mir_chr17_14084|chr17:73474998-73475059	95.04	244.3	205.51	113.96	499.97
mir204-2-3p,mir204-3p|chr1:247690244-247690299	0	0	0	0	0
mir26a-1-3p,mir26a-3-3p,mir26-2-3p,mir26a-3p,mir26-3-3p|chr8:126931636-126931681	14	47.58	29	18.99	14.99
mir7670-3p|chr4:66048385-66048419	3	9	14.99	34	46.9
mir7687-5p|chr19:64834978-64835007	0	0	0	1	2
rno-mir-6331-5p,mir6331-5p|chr6:143040934-143040995	2	18.26	5	9	2
mir_chr15_11455|chr15:29956085-29956157	0	0	0	0	0
mir_chr1_3449|chr1:222804986-222805048	0.67	1	1.34	4	0.33
mir370-3p|chr6:142902125-142902164	0	3	1.94	5	0
mir9b-3p,mir9a-3-3p,mir3597-3-3p,mir9-3-3p,mir9-7-3p|chr1:142191167-142191224	0.05	0	0.01	9.94	0
mir323-5p|chr6:143023369-143023412	0	2	0	0	0
mir31a-5p,mir3554-5p,mir31-5p|chr5:111183133-111183192	158.73	1512.89	328	427.72	491.15
mir26a-1-5p,mir26a-3-5p,mir26-2-5p,mir26a-5p,mir26-3-5p|chr8:126931591-126931636	9787.63	27984.77	32044.07	46219.57	26798.26
mir218a-5p,mir218a-1-5p,mir218-2-5p,mir218a-2-5p|chr10:20303157-20303212	297.5	880.58	1053.96	531.93	669.77
mir_chr10_6166|chr10:81986758-81986819	0	0	0	0	0
mir541-3p|chr6:143055056-143055101	0	0	0	0	0
mir196d-5p,mir196a-1-5p,mir196a-5p,mir196a-2-5p,mir196c-5p|chr7:142375591-142375646	0	0	0	0	0
mir2964-3p,mir219b-3p,mir219-1-3p,mir219-2-3p,mir219a-2-3p|chr3:13750972-13751022	16	93.29	25	69.73	6
mir_chr8_30292|chr8:60382089-60382146	0	0.99	0	0	0
mir499a-3p,mir499-3p|chr3:157506699-157506740	1	3.88	6	5.99	23.89
mir376b-5p|chr6:143035451-143035494	5	44.91	9.99	7.74	16
rno-mir-6324-5p|chr11:39913865-39913925	252.24	384.39	679.57	1079.37	610.15
mir_chr3_19644|chr3:64164021-64164080	1	2.95	1.45	1.04	0
mir138-5p,mir138-2-5p|chr19:11127519-11127561	366.14	1515.8	753.43	1643.48	802.53
mir365-3p,mir365-2-3p,mir365-3-3p|chr10:64570059-64570114	0	0	0	2.89	0.66
mir_chr8_31511|chr8:114538901-114538964	0	0.06	0	1.99	6.99
mir877-3p|chr20:5416442-5416484	0	8.99	0	3	0
mir434-3p,mir3543-3p|chr6:142877521-142877579	25.5	67.5	34.01	80.5	37.5
mir_chr17_14120|chr17:73746719-73746780	503.94	736.78	1134.05	576.83	777.88
mir24-2-5p,mir3074-2-5p,mir24-5p|chr19:36295104-36295158	6920.54	18053.5	14933.81	9379.97	9653.25
mir_chr12_11943|chr12:40771116-40771184	0	0	1	1	0
mir_chr16_12486|chr16:3728114-3728191	0	0	1	0	0
mir30d-3p,mir30e-3p,mir30a-3p|chr9:28377856-28377900	5853.61	11821.67	17704.26	19500.62	12784.97
rno-mir-466b-1-5p|chr17:73754850-73754893	12.38	14.21	17.11	16.76	40.9
mir_chr9_32869|chr9:81930076-81930135	1	0	4	1.28	0
mir344d-3-5p,rno-mir-344b-2-5p|chr1:122331012-122331049	0	0	0	0	0
mir_chr18_14264|chr18:15671811-15671876	2	5	2.5	16.99	2.5
mir_chr15_11411|chr15:16544475-16544540	0	1.99	0	2.92	0
mir_chr2_25711|chr2:117542517-117542567	0	0	0	0.02	0.57
mir377-5p|chr6:143053044-143053082	0	1	0	1	0
mir_chr7_29887|chr7:142598558-142598619	0.5	0	0.5	3.5	1
mir_chr17_13669|chr17:12698274-12698332	0	8.66	7.66	3.69	3.28
mir_chr11_7192|chr11:73803747-73803808	0	2	2	1	1
mir_chr15_11668|chr15:38156450-38156523	0.95	0	4	2	1
mir_chr20_18536|chr20:7204479-7204537	2	13	14.11	51.87	27
mir_chr3_21202|chr3:90952622-90952683	0.5	1	0.5	3.99	1
rno-mir-155-3p,mir155-3p|chr11:27810394-27810436	0	0.99	0	6.99	2
mir3563-3p,mir299a-3p,mir299b-3p,mir299-3p|chr6:143021465-143021524	0	0.99	0	0	1
mir_chr20_19247|chr20:48471489-48471552	0	0	0	0	0
mir_chr3_21185|chr3:89512943-89513025	0.09	3.72	11.08	21.03	5.84
mir_chr10_5925|chr10:62337509-62337569	0	0	0.5	1.5	9.5
mir_chr6_27178|chr6:4349752-4349812	0	3	3	3	3
rno-mir-1839-5p,mir1839-5p|chr1:144303942-144303982	831.67	1918.97	3085.25	6516.34	4655.93
mir_chr16_12468|chr16:2016592-2016663	0	0	0	1	0
mir_chr1_3469|chr1:223670065-223670124	1	0	0	1.99	0
mir_chr17_13665|chr17:12583045-12583125	6	6	9.44	13.91	9.01
mir677-5p|chr7:2485720-2485757	70	63	96	370	120.97
mir92b-5p|chr2:207955722-207955765	0	0	0	0	0
mir188-5p|chrX:16895393-16895433	212.94	561.24	775.86	759.16	989.65
mir_chr17_14137|chr17:77913907-77913970	0.5	0	1.5	2	1.5
mir_chr9_32394|chr9:3486018-3486076	0	0	0	3.99	1
mir_chr10_6433|chr10:107843435-107843494	0	1.5	1.5	0.5	1
mir3596a-5p,mirlet7-5p,mirlet7a-5p,mirlet7a-2-5p,mirlet7a-4-5p|chr8:44228512-44228569	0	0	0	0	0
mir_chr7_28887|chr7:141728160-141728218	2	4	4	9	6.98
mir_chr1_355|chr1:62558342-62558397	0	0	0	0.97	0
mir_chr13_9464|chr13:93147457-93147508	2	2	1	1	5
mirlet7f-5p,mirlet7f-2-5p,mirlet7g-2-5p,mirlet7g-5p,mirlet7a-3-5p|chrX:21868551-21868597	885519.77	798263.59	2437515.18	1555152.85	1808345.57
mir509-3p,rno-mir-509-3p|chr1:151036450-151036492	0	1	4	2	2.99
mir_chr14_14703|chr14:34952743-34952799	0	0	0	0	0
mir_chr15_10994|chr15:31995919-31995983	3.01	20	6	35.24	11.35
rno-mir-466b-2-5p|chr17:73500759-73500800	35.01	108.7	127.03	215.92	282.2
mir132-5p,mir132-2-5p,mir132-3-5p|chr10:61729384-61729434	1	45	14.4	25	19
mir_chr5_25986|chr5:165286781-165286842	0	0	0	0	0
mir_chr1_2664|chr1:102592088-102592143	0	0	0	2	2
mir_chr4_22395|chr4:185262420-185262491	0	0	0	7	2
mir8114-3p|chr13:76294479-76294517	1	2	4	6	1
mir3085-3p|chr1:268976706-268976750	0	3	1	8.91	0
mir129-5p,mir129-1-5p,mir129-2-5p|chr4:56049086-56049128	21.97	172.47	9.71	69.01	1
mir29c-3p,mir3556b-3p|chr1:39612907-39612960	130	232.25	175.96	473.37	267.4
mir_chr6_26508|chr6:64677117-64677174	0	0	1	1	1
mir_chr7_28664|chr7:117408326-117408375	1	1	3	0	1
mir_chr4_23532|chr4:190804044-190804105	0	0	0	0	0
mir690-3p|chr14:42599994-42600016	0.46	1.25	1.17	0.07	1.28
mir_chr3_21415|chr3:127244376-127244439	0	0	0	0	0
mir_chr20_19152|chr20:25131755-25131812	0	0	0	1	0
mir1-3p,mir3571-3p,mir1b-3p,mir1a-1-3p,mir1a-2-3p,mir1-2-3p|chr18:2087889-2087950	0	0.99	0	0	0
mir598-3p|chr15:50816227-50816267	88.96	145.38	179.27	132.1	124.88
mir_chr3_20541|chr3:8824727-8824792	0	0	0	0	0
mir_chr1_1435|chr1:226107321-226107383	6	28.99	13	9	8
mir_chr1_519|chr1:86676333-86676393	0	0	1	0	2
mir182-3p|chr4:57221511-57221573	2	0	3	1	4
mir7006-5p|chr3:180793915-180793949	0	0	0	0	0
mir25-5p,mir25-1-5p|chr12:21365011-21365060	5	30	5	26	8.99
mir_chrX_34296|chrX:151288045-151288101	10	21	61	1	0
mir344i-5p,rno-mir-344g-5p,mir344g-5p|chr1:123541531-123541570	0	0	0	0	0
mir412-3p|chr6:143055961-143056001	0	0	0	0	0
mir101a-3p,mir101a-2-3p|chr5:124050116-124050162	85647.37	164933.88	260221.44	152646.56	249481.24
mir_chrX_34110|chrX:112601792-112601853	0	0	1	2	2
mir_chr5_24366|chr5:83293946-83294010	56	95	270	241.81	301.99
mir493-3p|chr6:142861727-142861769	1	3	3.01	2	2.99
mir196a-1-5p,mir196c-5p|chr10:83916609-83916660	0	0	0	0	0
mir34b-5p|chr8:54088940-54088982	28.8	113.69	107.18	122.26	197.15
mir499a-5p,mir499-5p|chr3:157506657-157506698	157	442.99	472.65	653	969.99
mir344e-3p,mir344d-3-3p|chr1:122356807-122356846	0	0	0	0.33	0
mir_chr10_5414|chr10:13884175-13884239	0	6	1	16	3
mir3566-3p|chr17:23337789-23337843	0	0	3	1	0
mir_chr7_29778|chr7:124232546-124232628	1	1.08	1	3	1
mir3575-3p,mir200c-3p|chr4:224254354-224254411	13.78	160.67	46.42	53.42	40.17
mir_chr15_11025|chr15:37526504-37526567	0	0	0	0	0
mir3579-5p,mir380-5p|chr6:143022700-143022756	12	128.93	30.09	30	23
mir_chr18_14613|chr18:73302272-73302358	0	0	0	0	0
mir_chr12_7949|chr12:48820169-48820231	0	2	0	0	2
mir_chr5_26039|chr5:170636302-170636358	2	24	23	66.99	44.22
mir690-5p|chr14:42599971-42599993	0	0	0	3.96	5.77
mir326-3p|chr1:170722118-170722165	83.96	477.21	168.55	554.6	241.63
mir217-1-5p,mir217-5p|chr14:112809661-112809714	0	9.96	1	7	4.77
mir3084-2-3p,mir3084-3p|chr6:101090846-101090876	0	0	0	2.83	0
mir_chr17_13440|chr17:65401176-65401238	0.85	4	1	1	3.04
mir495-3p|chr6:143030665-143030705	0	7	1	0	1
mir_chr14_15269|chr14:1580662-1580725	4	9.95	9.66	2.47	0.29
mir_chr20_18631|chr20:13159532-13159597	0	3	2	3	0
mir_chr4_22904|chr4:247823103-247823158	1	0	0.27	1	2
mir1895-3p|chr2:257944874-257944913	0	14.24	2.05	4.37	8.01
mir_chr19_15945|chr19:70584446-70584508	0	0	1	3.09	1
mir19b2-3p,mir19b-2-3p|chrX:140167225-140167273	1508.82	4710.76	5728.11	2770.73	4324.18
mir10d-5p,mir10b-1-5p,mir10b-5p,mir10b-2-5p|chr3:68113661-68113715	44157.51	70133.55	54337.09	10200.68	7540.55
mir9a-1-5p,mir3597-1-5p,mir9a-4-5p,mir9-1-5p,mir9-2-5p,mir9-5p,mir9-3-5p|chr2:206985860-206985914	24	154.87	41	130	20
mir19b1-5p,mir19b-5p,mir19b-1-5p,mir19b-2-5p,mir19c-5p|chr15:103641486-103641529	9	29.99	16	11	17
mir542-3p|chrX:152777492-152777534	398.65	738.66	1262.94	621.58	1042.18
mir124-5p,mir124-1-5p,mir124-2-5p,mir124a-1-5p,mir124-5-5p,mir124-6-5p|chr15:51712750-51712792	0	12	0	2.42	0
mir_chr5_24753|chr5:152026198-152026273	0	0	0	0	0.93
mir_chr12_12092|chr12:54361673-54361735	0	0.97	0.5	0	0
mir_chr12_11939|chr12:39932988-39933052	0	0	0	0	1
mir130b-5p|chr11:91182319-91182360	0	11.86	13	17.92	16.97
mir_chr2_17184|chr2:262933750-262933806	0	0	0	1	1
mir_chr18_15077|chr18:78524088-78524140	0	1	0	12	2
mir_chr8_31353|chr8:95600323-95600410	1	2	6	8	1
mir3565-5p,mir218-1-5p,mir218a-2-5p|chr14:66955550-66955607	41.49	23.8	38.97	84.78	40.1
mir_chr16_12502|chr16:6923030-6923102	0	0	2	3.99	5.96
mir1949-3p|chr2:2471845-2471888	5	12	17	23	15
mir3590-3p,mir130a-3p|chr3:78661696-78661740	7390.44	24054.64	22715.43	64991	39458.11
mirlet7g-5p,mirlet7j-5p|chr8:114237835-114237883	101755.5	138415.07	266536.98	155201.95	176333.34
mir_chr1_766|chr1:126622854-126622916	0	0	0	0	0
mir_chr10_5289|chr10:109516352-109516416	0	0	0	0	0
mir106a-3p,mir20-3p,mir20a-2-3p,mir20a-3p,mir20b-3p|chrX:140167363-140167401	1	7	8	17	28
mir365-3p,mir365-1-3p|chr14:30139885-30139928	244.99	2960.88	656.84	1724.36	751.25
mir204-1-5p,mir204-2-5p,mir211-5p|chr1:126151168-126151221	0.41	4.77	0	0.81	0
mir_chr17_13347|chr17:57905644-57905697	67.05	888.36	112.02	6689.29	5710.38
mir106a-5p,mir17-2-5p,mir17a-2-5p,mir20b-5p|chrX:140167778-140167819	74.48	400.83	210.3	339.44	195.1
mir_chr15_11343|chr15:112062944-112063021	0	0	3.85	8.71	29.7
mir672-5p|chrX:75784697-75784747	10.44	31.6	34.57	99.56	18.99
mir690-3p|chr6:124520856-124520879	0	0	0.73	1.07	0.25
mir135a-1-5p|chr8:114212745-114212787	7.99	65.6	36.3	22.71	34.97
mir3581-3p,mir409-3p|chr6:143055774-143055814	0	0	0	3	1
mir_chr8_30733|chr8:127217455-127217506	0	0	0	3.89	0.96
mir_chrX_34162|chrX:116273336-116273392	0	0	0	10.98	12
mir125a-5p|chr1:60624484-60624526	3777.99	28142.99	8285	17791.97	10215.26
mir_chr5_24999|chr5:173995169-173995227	0	0	0	0	0
mir196b-5p|chr4:146951724-146951766	5	4	5.5	18.52	10.38
mir_chr6_27638|chr6:103269554-103269616	1	0	3	1	2
mir_chr13_9536|chr13:95537557-95537633	0	7	3	7	4.99
